ID,ServiceName,ServiceType,Suburb,Postcode,Size,OverallRating,Long Day Care,Preschool/Kinder - Part of a School,Preschool/Kinder - Standalone,After School Care,Before School Care,Vacation Care,Temporarily Closed,Cost Per Day
529,Dawson Street Preschool,Centre-Based Care,TULLAMARINE,3043,31,Exceeding NQS,No,No,Yes,No,No,No,No,127
530,Milleara Gardens Kindergarten,Centre-Based Care,KEILOR EAST,3033,33,Exceeding NQS,No,No,Yes,No,No,No,No,63
531,Kings Park Kindergarten,Centre-Based Care,KINGS PARK,3021,63,Exceeding NQS,No,No,Yes,No,No,No,No,158
532,Keilor Gatehouse,Centre-Based Care,KEILOR,3036,23,Exceeding NQS,No,No,Yes,No,No,No,No,160
533,St Albans East Preschool,Centre-Based Care,ST ALBANS,3021,33,Meeting NQS,No,No,Yes,No,No,No,No,104
534,Keilor Downs Kindergarten,Centre-Based Care,KEILOR DOWNS,3038,33,Exceeding NQS,No,No,Yes,No,No,No,No,61
535,Taylors Lakes Kindergarten,Centre-Based Care,TAYLORS LAKES,3038,30,Exceeding NQS,No,Yes,No,No,No,No,No,78
536,Small Steps Early Learning Centre,Centre-Based Care,KEILOR DOWNS,3038,40,Meeting NQS,Yes,No,No,No,No,No,No,166
537,Airport West Early Learning Co-operative,Centre-Based Care,AIRPORT WEST,3042,48,Meeting NQS,Yes,No,No,No,No,No,No,81
538,Remus Way Kindergarten,Centre-Based Care,TAYLORS LAKES,3038,28,Meeting NQS,No,No,Yes,No,No,No,No,145
539,Remus Way Children's Centre,Centre-Based Care,TAYLORS LAKES,3038,45,Exceeding NQS,Yes,No,No,No,No,No,No,64
540,Sydenham Kindergarten,Centre-Based Care,SYDENHAM,3037,106,Meeting NQS,No,No,Yes,No,No,No,No,95
541,Delahey Children's Centre,Centre-Based Care,DELAHEY,3037,42,Meeting NQS,Yes,No,No,No,No,No,No,131
542,Copperfields Preschool,Centre-Based Care,DELAHEY,3037,60,Meeting NQS,No,No,Yes,No,No,No,No,55
543,Monmia Preschool,Centre-Based Care,KEILOR DOWNS,3038,25,Exceeding NQS,No,Yes,No,No,No,No,No,106
544,Grace St Early Learning Centre,Centre-Based Care,ST ALBANS,3021,91,Meeting NQS,Yes,No,No,No,No,No,No,190
545,Oarsome Drive Childcare Centre,Centre-Based Care,DELAHEY,3037,45,Meeting NQS,Yes,No,No,No,No,No,No,114
546,Davis Street Kindergarten,Centre-Based Care,KEW,3101,56,Exceeding NQS,No,No,Yes,No,No,No,No,189
547,J J Mcmahon Memorial Kindergarten,Centre-Based Care,KEW,3101,56,Exceeding NQS,No,No,Yes,No,No,No,No,64
548,Studley Park Kindergarten,Centre-Based Care,KEW,3101,27,Meeting NQS,No,No,Yes,No,No,No,No,100
549,Glass Street Kindergarten Assoc Inc,Centre-Based Care,KEW EAST,3102,25,Working Towards NQS,No,No,Yes,No,No,No,No,51
550,Ruyton Early Learning Kindergarten & Pre Prep,Centre-Based Care,KEW,3101,81,Exceeding NQS,No,Yes,No,No,No,No,No,76
551,North Kew Kindergarten,Centre-Based Care,KEW NORTH,3101,27,Exceeding NQS,No,No,Yes,No,No,No,No,161
552,Argyle Road Child Care Centre,Centre-Based Care,KEW,3101,40,Meeting NQS,Yes,No,No,No,No,No,No,112
553,Belford Oaks Community Children's Centre,Centre-Based Care,KEW,3101,35,Exceeding NQS,Yes,No,No,No,No,No,No,104
554,Peppercorn Early Learning Centre,Centre-Based Care,KEW,3101,75,Meeting NQS,Yes,No,No,No,No,No,No,177
555,Carey Early Learning Centre Kew,Centre-Based Care,KEW,3101,80,Exceeding NQS,Yes,No,No,No,No,No,No,179
556,Wallan Kindergarten,Centre-Based Care,WALLAN,3756,60,Meeting NQS,No,No,Yes,No,No,No,No,149
557,Wandong Kindergarten,Centre-Based Care,WANDONG,3758,56,Meeting NQS,No,No,Yes,No,No,No,No,122
558,Alchester Village Preschool,Centre-Based Care,BORONIA,3155,30,Exceeding NQS,No,No,Yes,No,No,No,No,198
559,Cooinda Kindergarten,Centre-Based Care,BORONIA WEST,3155,30,Exceeding NQS,No,No,Yes,No,No,No,No,63
560,Alexander Magit Kindergarten,Centre-Based Care,FERNTREE GULLY,3156,33,Exceeding NQS,No,No,Yes,No,No,No,No,108
561,Alice Johnson Kindergarten,Centre-Based Care,FERNTREE GULLY,3156,28,Exceeding NQS,No,No,Yes,No,No,No,No,162
562,Jacobs Early Learning Centre,Centre-Based Care,ROWVILLE,3178,28,Working Towards NQS,Yes,No,No,No,No,No,No,153
563,Swinburne Children's Centre Wantirna,Centre-Based Care,WANTIRNA SOUTH,3152,45,Exceeding NQS,Yes,No,No,No,No,No,No,144
564,Bena Angliss Kindergarten,Centre-Based Care,FERNTREE GULLY,3156,30,Exceeding NQS,No,No,Yes,No,No,No,No,188
565,Wattleview Kindergarten,Centre-Based Care,FERNTREE GULLY,3156,30,Exceeding NQS,No,No,Yes,No,No,No,No,199
566,F W Kerr Kindergarten,Centre-Based Care,FERNTREE GULLY,3156,30,Exceeding NQS,No,No,Yes,No,No,No,No,179
567,Knoxfield Kindergarten,Centre-Based Care,KNOXFIELD,3180,56,Exceeding NQS,No,No,Yes,No,No,No,No,130
568,West Gully Kindergarten,Centre-Based Care,FERNTREE GULLY,3156,30,Exceeding NQS,No,No,Yes,No,No,No,No,137
569,Rowville Kindergarten,Centre-Based Care,ROWVILLE,3178,66,Exceeding NQS,No,No,Yes,No,No,No,No,96
570,The Basin Kindergarten,Centre-Based Care,THE BASIN,3154,30,Exceeding NQS,No,No,Yes,No,No,No,No,135
571,Kellbourne Heights Kindergarten & Child Care Centre,Centre-Based Care,ROWVILLE,3178,60,Working Towards NQS,Yes,Yes,No,Yes,Yes,Yes,No,161
572,Haering Road Kindergarten,Centre-Based Care,BORONIA,3155,30,Exceeding NQS,No,No,Yes,No,No,No,No,123
573,Mariemont Kindergarten,Centre-Based Care,WANTIRNA SOUTH,3152,60,Exceeding NQS,No,No,Yes,No,No,No,No,131
574,Scoresby Village Childcare,Centre-Based Care,SCORESBY,3179,45,Meeting NQS,Yes,No,No,No,No,No,No,109
575,Goodwin Estate Kindergarten,Centre-Based Care,THE BASIN,3154,30,Exceeding NQS,No,No,Yes,No,No,No,No,80
576,Billoo Park Kindergarten,Centre-Based Care,WANTIRNA,3152,29,Exceeding NQS,No,No,Yes,No,No,No,No,114
577,Berrabri Kindergarten,Centre-Based Care,SCORESBY,3179,27,Meeting NQS,No,No,Yes,No,No,No,No,53
578,Templeton Orchards Kindergarten,Centre-Based Care,WANTIRNA,3152,33,Meeting NQS,No,No,Yes,No,No,No,No,173
579,Riddell Road Kindergarten,Centre-Based Care,WANTIRNA SOUTH,3152,33,Exceeding NQS,No,No,Yes,No,No,No,No,190
580,Windermere Reserve Kindergarten,Centre-Based Care,FERNTREE GULLY,3156,33,Exceeding NQS,No,No,Yes,No,No,No,No,122
581,Flamingo Kindergarten,Centre-Based Care,WANTIRNA SOUTH,3152,33,Exceeding NQS,No,No,Yes,No,No,No,No,85
582,Eildon Parade Kindergarten,Centre-Based Care,ROWVILLE,3178,28,Meeting NQS,No,No,Yes,No,No,No,No,140
583,Park Ridge Kindergarten,Centre-Based Care,ROWVILLE,3178,29,Exceeding NQS,No,No,Yes,No,No,No,No,63
584,Colchester Park Preschool,Centre-Based Care,BORONIA,3155,33,Exceeding NQS,No,No,Yes,No,No,No,No,176
585,The Fields Kindergarten,Centre-Based Care,ROWVILLE,3178,27,Exceeding NQS,No,No,Yes,No,No,No,No,86
586,Amaroo Child Care Centre,Centre-Based Care,FERNTREE GULLY,3156,100,Meeting NQS,Yes,No,No,No,No,No,No,57
587,Magic Garden Child Care Centre,Centre-Based Care,FERNTREE GULLY,3156,39,Working Towards NQS,Yes,No,No,No,No,No,No,76
588,Taylors Lane Kindergarten,Centre-Based Care,ROWVILLE,3178,25,Exceeding NQS,No,No,Yes,No,No,No,No,83
589,Murrindal Children and Family Centre,Centre-Based Care,ROWVILLE,3178,66,Exceeding NQS,No,No,Yes,No,No,No,No,71
590,Liberty Family Centre,Centre-Based Care,ROWVILLE,3178,30,Meeting NQS,No,No,Yes,No,No,No,No,62
591,Johnson and Friends Childcare & Kinder,Centre-Based Care,FERNTREE GULLY,3156,53,Working Towards NQS,Yes,No,No,No,No,No,No,73
592,Inglewood Kindergarten,Centre-Based Care,INGLEWOOD,3517,26,Working Towards NQS,No,No,Yes,No,No,No,No,71
593,Wedderburn Preschool,Centre-Based Care,WEDDERBURN,3518,30,Meeting NQS,No,No,Yes,No,No,No,No,172
594,Loch & District Preschool Centre,Centre-Based Care,LOCH,3945,30,Working Towards NQS,No,No,Yes,No,No,No,No,155
595,Poowong Kindergarten,Centre-Based Care,POOWONG,3988,30,Exceeding NQS,No,No,Yes,No,No,No,No,107
596,Goroke Preschool,Centre-Based Care,GOROKE,3412,25,Exceeding NQS,No,No,Yes,No,No,No,No,112
597,Kyabram Municipal Preschool,Centre-Based Care,KYABRAM,3620,29,Meeting NQS,No,No,Yes,No,No,No,No,91
598,Unwin Street Preschool,Centre-Based Care,KYABRAM,3620,61,Meeting NQS,Yes,No,Yes,No,No,No,No,145
599,Kyabram Community & Learning Centre,Centre-Based Care,KYABRAM,3620,30,Meeting NQS,Yes,No,Yes,No,No,No,No,182
600,Lady Brooks Kindergarten,Centre-Based Care,KYNETON,3444,66,Exceeding NQS,No,No,Yes,No,No,No,No,120
601,Trentham Early Learning,Centre-Based Care,TRENTHAM,3458,49,Meeting NQS,No,No,Yes,No,No,No,No,70
602,Palm Grove Preschool,Centre-Based Care,KILSYTH,3137,28,Meeting NQS,No,No,Yes,No,No,No,No,151
603,Lilydale Preschool,Centre-Based Care,LILYDALE,3140,28,Meeting NQS,No,No,Yes,No,No,No,No,154
604,Lilydale North Preschool,Centre-Based Care,LILYDALE,3140,30,Exceeding NQS,No,No,Yes,No,No,No,No,134
605,Sarah Court Preschool,Centre-Based Care,MONTROSE,3765,28,Exceeding NQS,No,No,Yes,No,No,No,No,127
606,Gray Court Preschool,Centre-Based Care,MOOROOLBARK,3138,29,Exceeding NQS,No,No,Yes,No,No,No,No,184
607,Lancaster Preschool,Centre-Based Care,MOOROOLBARK,3138,29,Exceeding NQS,No,No,Yes,No,No,No,No,70
608,Manchester Preschool,Centre-Based Care,MOOROOLBARK,3138,30,Meeting NQS,No,No,Yes,No,No,No,No,198
609,Mooroolbark Early Childhood Education Centre,Centre-Based Care,MOOROOLBARK,3138,55,Exceeding NQS,No,No,Yes,No,No,No,No,165
610,Mt Evelyn Memorial Preschool,Centre-Based Care,MOUNT EVELYN,3796,24,Exceeding NQS,No,No,Yes,No,No,No,No,117
611,Wandin Preschool,Centre-Based Care,WANDIN NORTH,3139,25,Exceeding NQS,No,No,Yes,No,No,No,No,100
612,Bimbadeen Preschool,Centre-Based Care,MOOROOLBARK,3138,30,Meeting NQS,No,No,Yes,No,No,No,No,102
613,Seville Preschool,Centre-Based Care,SEVILLE,3139,27,Meeting NQS,No,No,Yes,No,No,No,No,50
614,Coldstream Preschool,Centre-Based Care,COLDSTREAM,3770,30,Exceeding NQS,No,No,Yes,No,No,No,No,70
615,Joy Avenue Kindergarten,Centre-Based Care,MOUNT EVELYN,3796,30,Exceeding NQS,No,No,Yes,No,No,No,No,124
616,Aussie Kindies Early Learning Kilsyth,Centre-Based Care,KILSYTH,3137,80,Meeting NQS,Yes,No,No,No,No,No,No,52
617,Rolling Hills Kindergarten,Centre-Based Care,MOOROOLBARK,3138,25,Exceeding NQS,No,No,Yes,No,No,No,No,183
618,Lakeview Kindergarten & Childcare,Centre-Based Care,LILYDALE,3140,38,Exceeding NQS,Yes,No,No,No,No,No,No,97
619,Como Park Child Care & Kindergarten,Centre-Based Care,LILYDALE,3140,64,Exceeding NQS,Yes,No,No,No,No,No,No,154
620,Natural Wonders Early Learning,Centre-Based Care,MOOROOLBARK,3138,38,Exceeding NQS,Yes,No,No,No,No,No,No,199
621,Heyfield Kindergarten,Centre-Based Care,HEYFIELD,3858,30,Exceeding NQS,No,No,Yes,No,No,No,No,122
622,Maffra Queen Street Kindergarten & Occasional Care,Centre-Based Care,MAFFRA,3860,30,Working Towards NQS,No,No,Yes,No,No,No,No,142
623,Glassford Kindergarten,Centre-Based Care,MAFFRA,3860,58,Exceeding NQS,No,No,Yes,No,No,No,No,127
624,Briagolong Kindergarten & Occasional Care Centre,Centre-Based Care,BRIAGOLONG,3860,37,Meeting NQS,No,No,Yes,No,No,No,No,170
625,Maldon Preschool Centre,Centre-Based Care,MALDON,3463,26,Exceeding NQS,No,No,Yes,No,No,No,No,124
626,Malvern Memorial Kindergarten,Centre-Based Care,ARMADALE,3143,26,Exceeding NQS,No,No,Yes,No,No,No,No,190
627,Gardiner Preschool Inc,Centre-Based Care,GLEN IRIS,3146,50,Exceeding NQS,No,No,Yes,No,No,No,No,141
628,Ewing Kindergarten,Centre-Based Care,MALVERN EAST,3145,44,Exceeding NQS,No,No,Yes,No,No,No,No,148
629,Sunnyside Kindergarten,Centre-Based Care,MALVERN EAST,3145,56,Exceeding NQS,No,No,Yes,No,No,Yes,No,100
630,Samantha's Child Care and Kindergarten,Centre-Based Care,GLEN IRIS,3146,67,Meeting NQS,Yes,No,No,No,No,No,No,185
631,Malvern Early Learning and Child Care Centre,Centre-Based Care,ARMADALE,3143,35,Exceeding NQS,Yes,No,No,No,No,No,No,178
632,Malvern Day Nursery,Centre-Based Care,MALVERN,3144,29,Meeting NQS,Yes,No,No,No,No,No,No,79
633,Little St Margarets,Centre-Based Care,MALVERN,3144,51,Exceeding NQS,No,No,Yes,No,No,No,No,117
634,Little Paddington Child Care Centre and Kindergarten,Centre-Based Care,MALVERN EAST,3145,60,Meeting NQS,Yes,No,No,No,No,No,No,192
635,Chabad House of Malvern/Toorak,Centre-Based Care,ARMADALE,3143,80,Exceeding NQS,Yes,No,No,Yes,No,No,No,173
636,Shine Bright Kangaroo Flat Kindergarten,Centre-Based Care,KANGAROO FLAT,3555,30,Exceeding NQS,No,No,Yes,No,No,No,No,72
637,Shine Bright Helm Street Kindergarten,Centre-Based Care,KANGAROO FLAT,3555,51,Exceeding NQS,No,No,Yes,No,No,No,No,63
638,A G Leech Kindergarten,Centre-Based Care,MARYBOROUGH,3465,33,Working Towards NQS,No,No,Yes,No,No,No,No,167
639,Californian Gully Kindergarten,Centre-Based Care,MARYBOROUGH,3465,29,Meeting NQS,No,No,Yes,No,No,No,No,197
640,T L Stone Memorial Kindergarten,Centre-Based Care,MARYBOROUGH,3465,30,Exceeding NQS,No,No,Yes,No,No,No,No,146
641,Shine Bright Heathcote Kindergarten,Centre-Based Care,HEATHCOTE,3523,24,Exceeding NQS,No,No,Yes,No,No,No,No,158
642,Queensberry Childrens Centre,Centre-Based Care,CARLTON,3053,104,Exceeding NQS,Yes,No,No,No,No,No,No,75
643,Powlett Reserve Children's Centre,Centre-Based Care,EAST MELBOURNE,3002,51,Exceeding NQS,Yes,No,No,No,No,No,No,118
644,St Brendan's Kindergarten,Centre-Based Care,FLEMINGTON,3031,29,Meeting NQS,No,No,Yes,No,No,No,No,71
645,Kensington Community Children's Centre,Centre-Based Care,KENSINGTON,3031,140,Exceeding NQS,Yes,No,No,No,No,No,No,74
646,St Mary's Kindergarten,Centre-Based Care,NORTH MELBOURNE,3051,50,Exceeding NQS,No,No,Yes,No,No,No,No,90
647,Fawkner Park Children's Centre,Centre-Based Care,SOUTH YARRA,3141,74,Exceeding NQS,Yes,No,No,No,No,No,No,135
648,Kids on Collins,Centre-Based Care,MELBOURNE,3000,208,Meeting NQS,Yes,No,No,No,No,No,No,112
649,Christ Church Grammar Kindergarten,Centre-Based Care,SOUTH YARRA,3141,97,Exceeding NQS,No,Yes,No,No,No,No,No,182
650,Wimble Street Child Care Co-op,Centre-Based Care,PARKVILLE,3052,31,Exceeding NQS,Yes,No,No,No,No,No,No,120
651,Flemington Child Care Co-operative,Centre-Based Care,FLEMINGTON,3031,37,Working Towards NQS,Yes,No,No,No,No,No,No,119
652,Tommaso Fiaschi Child Care Centre,Centre-Based Care,CARLTON,3053,54,Meeting NQS,Yes,No,No,No,No,No,No,187
653,Yarra Park Children's Centre,Centre-Based Care,EAST MELBOURNE,3002,63,Meeting NQS,Yes,No,No,No,No,No,No,156
654,North Melbourne Childrens Centre,Centre-Based Care,NORTH MELBOURNE,3051,49,Exceeding NQS,Yes,No,No,No,No,No,No,156
655,Melbourne University Family Club,Centre-Based Care,CARLTON,3053,48,Exceeding NQS,Yes,No,No,No,No,No,No,71
656,Swanston Street Children's Centre,Centre-Based Care,CARLTON,3053,41,Meeting NQS,Yes,No,No,No,No,No,No,112
657,Try Melton West Preschool,Centre-Based Care,MELTON WEST,3337,76,Meeting NQS,No,No,Yes,No,No,No,No,144
658,Melton Uniting Kindergarten,Centre-Based Care,MELTON,3337,33,Exceeding NQS,No,No,Yes,No,No,No,No,106
659,Diggers Rest Preschool,Centre-Based Care,DIGGERS REST,3427,66,Exceeding NQS,No,No,Yes,No,No,No,No,197
660,Kingsway Preschool,Centre-Based Care,MELTON,3337,33,Working Towards NQS,No,No,Yes,No,No,No,No,65
661,Rockbank Kindergarten,Centre-Based Care,ROCKBANK,3335,32,Meeting NQS,No,No,Yes,No,No,No,No,65
662,Early Learning Childcare & Kindergarten,Centre-Based Care,MELTON,3337,68,Working Towards NQS,Yes,No,Yes,Yes,Yes,Yes,No,164
663,Bellevue Hill Preschool,Centre-Based Care,HILLSIDE,3037,60,Meeting NQS,No,No,Yes,No,No,No,No,120
664,Melton South Early Learning Kinders,Centre-Based Care,MELTON SOUTH,3338,80,Meeting NQS,Yes,No,No,No,No,No,No,86
665,Harcourt Pre-School Play Centre,Centre-Based Care,HARCOURT,3453,23,Meeting NQS,No,No,Yes,No,No,No,No,186
666,De Garis Preschool,Centre-Based Care,MILDURA,3500,57,Exceeding NQS,No,No,Yes,No,No,No,No,179
667,Pasadena Preschool,Centre-Based Care,MILDURA,3500,59,Exceeding NQS,No,No,Yes,No,No,No,No,65
668,Mildura West Kindergarten,Centre-Based Care,MILDURA,3500,60,Meeting NQS,No,No,Yes,No,No,No,No,166
669,TAFE Kids Inc,Centre-Based Care,MILDURA,3500,91,Working Towards NQS,Yes,No,No,No,No,Yes,No,167
670,Playalong Early Learning Centre,Centre-Based Care,MILDURA,3500,37,Meeting NQS,Yes,No,No,No,No,No,No,81
671,Irymple Kindergarten,Centre-Based Care,IRYMPLE,3498,88,Exceeding NQS,No,No,Yes,No,No,No,No,196
672,Merbein Preschool Kindergarten,Centre-Based Care,MERBEIN,3505,64,Exceeding NQS,No,No,Yes,No,No,No,No,86
673,Mildura South Kindergarten,Centre-Based Care,MILDURA,3500,59,Exceeding NQS,No,No,Yes,No,No,No,No,165
674,Red Cliffs Kindergarten,Centre-Based Care,RED CLIFFS,3496,59,Working Towards NQS,No,No,Yes,No,No,No,No,73
675,Millewa Preschool,Centre-Based Care,WERRIMULL,3496,22,Meeting NQS,No,No,Yes,No,No,No,No,126
676,Nangiloc & District Kindergarten,Centre-Based Care,NANGILOC,3494,28,Meeting NQS,No,No,Yes,No,No,No,No,159
677,Macarthur Kindergarten,Centre-Based Care,MACARTHUR,3286,21,Working Towards NQS,No,No,Yes,No,No,No,No,121
678,Nullawarre Kindergarten,Centre-Based Care,NULLAWARRE,3268,19,Exceeding NQS,No,Yes,No,No,No,No,No,159
679,Moore Street Kindergarten,Centre-Based Care,MOE,3825,30,Working Towards NQS,No,No,Yes,No,No,No,No,55
680,Murray Road Kindergarten,Centre-Based Care,NEWBOROUGH,3825,28,Exceeding NQS,No,No,Yes,No,No,No,No,169
681,East Newborough Kindergarten,Centre-Based Care,NEWBOROUGH,3825,28,Exceeding NQS,No,No,Yes,No,No,No,No,167
682,Moe Heights Kindergarten,Centre-Based Care,MOE,3825,26,Meeting NQS,No,No,Yes,No,No,No,No,53
683,Moe Central Child Care Centre,Centre-Based Care,MOE,3825,60,Meeting NQS,Yes,No,No,No,No,No,No,81
684,Gordon Street Preschool,Centre-Based Care,BEAUMARIS,3193,28,Exceeding NQS,No,No,Yes,No,No,No,No,94
685,GEKA Bentleigh Kindergarten,Centre-Based Care,BENTLEIGH,3204,30,Exceeding NQS,No,No,Yes,No,No,No,No,65
686,GEKA Bentleigh East Kindergarten,Centre-Based Care,BENTLEIGH EAST,3165,33,Exceeding NQS,No,No,Yes,No,No,No,No,197
687,GEKA Brady Road Kindergarten,Centre-Based Care,BENTLEIGH EAST,3165,32,Exceeding NQS,No,No,Yes,No,No,No,No,180
688,GEKA Centre Road Kindergarten,Centre-Based Care,BENTLEIGH EAST,3165,30,Exceeding NQS,No,No,Yes,No,No,No,No,131
689,Evesham Road Preschool,Centre-Based Care,CHELTENHAM,3192,60,Exceeding NQS,No,No,Yes,No,No,No,No,132
690,Farm Road Preschool,Centre-Based Care,CHELTENHAM,3192,33,Exceeding NQS,No,No,Yes,No,No,No,No,113
691,Olympic Avenue Kindergarten,Centre-Based Care,CHELTENHAM,3192,50,Exceeding NQS,No,No,Yes,No,No,No,No,149
692,GEKA McKinnon Kindergarten,Centre-Based Care,MCKINNON,3204,64,Exceeding NQS,No,No,Yes,No,No,No,No,91
693,Acacia Avenue Preschool,Centre-Based Care,MENTONE,3194,66,Meeting NQS,No,No,Yes,No,No,No,No,156
694,Bruthen Street Kindergarten,Centre-Based Care,MOORABBIN,3189,26,Meeting NQS,No,No,Yes,No,No,No,No,80
695,Washington Drive Preschool,Centre-Based Care,OAKLEIGH SOUTH,3167,33,Meeting NQS,No,No,Yes,No,No,No,No,140
696,Bentleigh West Kindergarten,Centre-Based Care,BENTLEIGH,3204,24,Exceeding NQS,No,No,Yes,No,No,No,No,69
697,Sundowner Kindergarten,Centre-Based Care,CLARINDA,3169,30,Meeting NQS,No,No,Yes,No,No,No,No,84
698,Robin's Nest Early Learning Centre,Centre-Based Care,CHELTENHAM,3192,60,Meeting NQS,Yes,No,No,No,No,No,No,160
699,Mentone Park Child Care and Preschool,Centre-Based Care,MENTONE,3194,34,Meeting NQS,Yes,No,No,No,No,No,No,69
700,Bentleigh Early Child Education Cooperative,Centre-Based Care,BENTLEIGH,3204,37,Exceeding NQS,Yes,No,No,No,No,No,No,173
701,East Bentleigh Child Care Centre,Centre-Based Care,BENTLEIGH EAST,3165,37,Working Towards NQS,Yes,No,No,No,No,No,No,74
702,Virginia Park Child Care Centre,Centre-Based Care,BENTLEIGH EAST,3165,50,Working Towards NQS,Yes,No,No,No,No,No,No,196
703,Friendship Square Child Care & Kindergarten Co-op,Centre-Based Care,CHELTENHAM,3192,40,Meeting NQS,Yes,No,No,No,No,No,No,110
704,Roseberry House Early Learning Centre Bentleigh,Centre-Based Care,BENTLEIGH,3204,93,Exceeding NQS,Yes,No,No,No,No,No,No,177
705,East Beaumaris Kindergarten,Centre-Based Care,BEAUMARIS EAST,3193,30,Exceeding NQS,No,No,Yes,No,No,No,No,188
706,Mentone Preschool,Centre-Based Care,MENTONE,3194,28,Exceeding NQS,No,No,Yes,No,No,No,No,165
707,Elonera Preschool,Centre-Based Care,PARKDALE,3195,28,Exceeding NQS,No,No,Yes,No,No,No,No,117
708,Parkdale Preschool,Centre-Based Care,PARKDALE,3195,27,Exceeding NQS,No,No,Yes,No,No,No,No,141
709,Balcombe Preschool,Centre-Based Care,MOUNT MARTHA,3934,30,Exceeding NQS,No,No,Yes,No,No,No,No,136
710,Beleura Hill Preschool,Centre-Based Care,MORNINGTON,3931,30,Exceeding NQS,No,No,Yes,No,No,No,No,78
711,Leslie Moorhead Preschool Centre,Centre-Based Care,MORNINGTON,3931,28,Meeting NQS,No,No,Yes,No,No,No,No,57
712,South Mornington Preschool,Centre-Based Care,MORNINGTON SOUTH,3931,29,Meeting NQS,No,No,Yes,No,No,No,No,57
713,Kunyung Preschool,Centre-Based Care,MOUNT ELIZA,3930,26,Exceeding NQS,No,No,Yes,No,No,No,No,73
714,Mount Eliza Preschool,Centre-Based Care,MOUNT ELIZA,3930,30,Exceeding NQS,No,No,Yes,No,No,No,No,188
715,Mornington Park Preschool,Centre-Based Care,MORNINGTON,3931,29,Exceeding NQS,No,No,Yes,No,No,No,No,85
716,Mount Martha Kindergarten,Centre-Based Care,MOUNT MARTHA,3934,30,Exceeding NQS,No,No,Yes,No,No,No,No,77
717,Clever Little Monkeys,Centre-Based Care,MORNINGTON,3931,35,Working Towards NQS,Yes,No,No,No,No,No,No,177
718,Padua Kindergarten & Childcare Centre,Centre-Based Care,MORNINGTON,3931,57,Working Towards NQS,Yes,No,No,No,No,No,No,137
719,Mortlake & District Kindergarten,Centre-Based Care,MORTLAKE,3272,42,Exceeding NQS,No,No,Yes,No,No,No,No,196
720,Peas in a Pod Children's Centre,Centre-Based Care,MORTLAKE,3272,15,Working Towards NQS,Yes,No,No,No,No,No,No,119
721,Elizabeth Wilmot Kindergarten,Centre-Based Care,MORWELL,3840,27,Meeting NQS,No,No,Yes,No,No,No,No,137
722,Yinnar & District Kindergarten,Centre-Based Care,YINNAR,3869,26,Meeting NQS,No,No,Yes,No,No,No,No,120
723,Boolarra Kindergarten,Centre-Based Care,BOOLARRA,3870,33,Exceeding NQS,No,No,Yes,No,No,No,No,132
724,Parklands Kindergarten,Centre-Based Care,MORWELL,3840,30,Meeting NQS,No,No,Yes,No,No,No,No,102
725,Glendonald Kindergarten,Centre-Based Care,CHURCHILL,3842,30,Meeting NQS,No,No,Yes,No,No,No,No,132
726,Kylie Early Learning Centre,Centre-Based Care,MORWELL,3840,38,Working Towards NQS,Yes,No,No,No,No,No,No,81
727,Carinya Early Learning Centre,Centre-Based Care,MORWELL,3840,60,Exceeding NQS,Yes,No,No,No,No,No,No,105
728,Dunkeld Kindergarten,Centre-Based Care,DUNKELD,3294,30,Exceeding NQS,No,No,Yes,No,No,No,No,163
729,Penshurst Preschool,Centre-Based Care,PENSHURST,3289,24,Meeting NQS,No,No,Yes,No,No,No,No,80
730,Chatsworth Occasional Child Care,Centre-Based Care,CHATSWORTH,3379,30,Meeting NQS,No,No,Yes,No,No,No,No,107
731,Mountain View Children's Centre,Centre-Based Care,MYRTLEFORD,3737,97,Meeting NQS,Yes,No,No,No,No,No,No,178
732,Yallourn North Kindergarten,Centre-Based Care,YALLOURN NORTH,3825,25,Working Towards NQS,No,No,Yes,No,No,No,No,157
733,Thorpdale Kindergarten,Centre-Based Care,THORPDALE,3835,25,Exceeding NQS,No,No,Yes,No,No,No,No,167
734,Willow Grove Kindergarten,Centre-Based Care,WILLOW GROVE,3825,25,Meeting NQS,No,No,Yes,No,No,No,No,175
735,Nathalia & District Preschool,Centre-Based Care,NATHALIA,3638,30,Meeting NQS,No,No,Yes,No,No,No,No,179
736,Barmah Outreach Kindergarten,Centre-Based Care,BARMAH TOWN,3639,38,Meeting NQS,No,No,Yes,No,No,No,No,163
737,Woodend Kindergarten,Centre-Based Care,WOODEND,3442,66,Exceeding NQS,No,No,Yes,No,No,No,No,199
738,Bond Street Kindergarten,Centre-Based Care,NEWTOWN,3220,55,Exceeding NQS,No,No,Yes,No,No,No,No,96
739,Fyans Park Kindergarten,Centre-Based Care,NEWTOWN,3220,66,Meeting NQS,No,No,Yes,No,No,No,No,100
740,City Learning & Care - Ariston,Centre-Based Care,NEWTOWN,3220,150,Meeting NQS,Yes,No,No,No,No,No,No,71
741,Alfred Nuttall Memorial Kindergarten,Centre-Based Care,FAIRFIELD,3078,29,Exceeding NQS,No,No,Yes,No,No,No,No,199
742,Annie Dennis Children's Centre,Centre-Based Care,NORTHCOTE,3070,98,Exceeding NQS,Yes,No,No,No,No,No,No,86
743,Batman Park Kindergarten,Centre-Based Care,NORTHCOTE,3070,59,Exceeding NQS,No,No,Yes,No,No,No,No,125
